appr_statusid,assignedtime,categoryid,close_comments,closeaccepted,closurecodeid,editing_status,closurecomments,editorid,hasattachment,haslinkedrequest,impactdetails,impactid,isfcr,isescalated,is_fr_overdue,isoverdue,isread,itemid,last_tech_update,levelid,linkcomments,linkedworkorderid,notificationstatus,ownerid,priorityid,reopened,req_chat_type,reqapproval,requesttypeid,shownotestotech,statusid,subcategoryid,unrepliedcount,urgencyid,workorderid
,1523862443851,1501,,NO,,0,,,0,0,,,0,0,0,0,1,,1523862443897,,,,,13805,3,0,0,0,,0,3,,,,4175
,1523867577545,2403,,NO,,0,,,0,0,,,0,0,0,0,1,,1523867577545,,,,,14108,3,0,0,0,,0,3,,,,3420
,1523876935053,2,,NO,,0,,,0,0,,,0,0,0,0,1,,1523876935053,,,,,6609,3,0,0,0,,0,3,,,,4261
,1523878898275,2,,NO,,0,,,0,0,,,0,0,0,0,1,,1523878898275,,,,,6609,3,0,0,0,,0,3,3302,,,4257
,1523879696452,2702,,NO,,0,,,0,0,,,0,0,0,0,1,,1523879696467,,,,,9003,2,0,0,0,,0,3,1501,,,4262
,1523879815361,2702,,NO,,0,,,0,0,,,0,0,0,0,1,,1523879815376,,,,,13801,4,0,0,0,,0,3,1501,,,4252
,1523879905129,2702,,NO,,0,,,0,0,,,0,0,0,0,1,,1523879905129,,,,,9003,4,0,0,0,,0,3,1501,,,4263
,1523880673461,11,,NO,,0,,,0,0,,,0,0,0,0,1,,1523880673461,,,,,13805,3,0,0,0,,0,3,303,,,4253
,1523890196905,2702,,NO,,0,,,0,0,,,0,0,0,0,1,,1523890196905,,,,,13801,4,0,0,0,,0,3,1501,,,4267
,1523949169559,10,,NO,,0,,,0,0,,,0,0,0,0,1,,1523949169575,,,,,13805,3,0,0,0,,0,3,,,,4195
,1523952497133,901,,NO,,0,,,0,0,,,0,0,0,0,1,,1523952497149,,,,,13805,3,0,0,0,,0,3,3902,,,4264
,1523953173557,2,,NO,,0,,,1,0,,,0,0,0,0,1,,1523953173557,,,,,11401,3,0,0,0,,0,3,,,,4244
,1523954642501,2,,NO,,0,,,0,0,,,0,0,0,0,0,,1523954642501,,,,,6609,4,0,0,0,,0,3,,,,4254
,1523956464532,2406,,NO,,0,,,0,0,,,0,0,0,0,1,,1523956464548,,,,,15604,2,0,0,0,,0,3,,,,4214
,1523962123601,2,,NO,,0,,,0,0,,,0,0,0,0,1,,1523962123616,,,,,4804,3,0,0,0,,0,3,3301,,,4270
,1523962606644,2,,NO,,0,,,1,0,,,0,0,0,0,1,,1523962606644,,,,,15604,3,0,0,0,,0,3,,,,4259
,1523975896252,3,,NO,,0,,,0,0,,,0,0,0,0,1,,1523975896252,,,,,13805,4,0,0,0,,0,3,5,,,4260
,1523976037569,3,,NO,,0,,,0,0,,,0,0,0,0,1,,1523976037569,,,,,13805,3,0,0,0,,0,3,8,,,4258
,1523976313013,3,,NO,,0,,,0,0,,,0,0,0,0,1,,1523976313029,,,,,4804,3,0,0,0,,0,3,8,,,4272
,1523977949665,1501,,NO,,0,,,0,0,,,0,0,0,0,1,,1523977949665,,,,,13805,3,0,0,0,,0,3,,,,4177
,1523978034246,601,,NO,,0,,,1,0,,,0,0,0,0,1,,1523978034246,,,,,13805,2,0,0,0,,0,3,,,,3657
,1524045750338,1501,,NO,,0,,,0,0,,,0,0,0,0,1,,1524045750338,,,,,13805,3,0,0,0,,0,3,,,,4178
,1524050362347,2702,,NO,,0,,,0,0,,,0,0,0,0,1,,1524050362347,,,,,13801,4,0,0,0,,0,3,1501,,,4202
,1524050506585,2702,,NO,,0,,,0,0,,,0,0,0,0,1,,1524050506585,,,,,13801,4,0,0,0,,0,3,1501,,,4276
,1524050730513,10,,NO,,0,,,0,0,,,0,0,0,0,1,,1524050730513,,,,,4804,3,0,0,0,,0,3,16,,,4136
,1524053444802,2702,,NO,,0,,,0,0,,,0,0,0,0,1,,1524053444802,,,,,13801,3,0,0,0,,0,3,1501,,,4279
,1524055341913,2403,,NO,,0,,,0,0,,,0,0,0,0,1,,1524055341913,,,,,4804,2,0,0,0,,0,3,,,,4281
,1524055567748,2403,,NO,,0,,,0,0,,,0,0,0,0,1,,1524055567748,,,,,13805,3,0,0,0,,0,3,,,,4274
,1524128455621,1501,,NO,,0,,,1,0,,,0,0,0,0,1,,1524128455683,,,,,14108,4,0,0,0,,0,3,,,,4280
,1524130969296,2403,,NO,,0,,,0,0,,,0,0,0,0,1,,1524130969296,,,,,14108,4,0,0,0,,0,3,,,,4278
,1524134283632,2406,,NO,,0,,,0,0,,,0,0,0,0,1,,1524134283647,,,,,4804,3,0,0,0,,0,3,,,,4220
,1524139289245,901,,NO,,0,,,0,0,,,0,0,0,0,1,,1524139289245,,,,,4804,3,0,0,0,,0,3,3902,,,4245
,1524206267800,3,,NO,,0,,,0,0,,,0,0,0,0,0,,1524206267800,,,,,4804,3,0,0,0,,0,3,8,,,4249
,1524207897234,2702,,NO,,0,,,0,0,,,0,0,0,0,1,,1524207897234,,,,,9003,3,0,0,0,,0,3,1501,,,4285
,1524211362287,2702,,NO,,0,,,0,0,,,0,0,0,0,1,,1524211362287,,,,,13801,4,0,0,0,,0,3,1502,,,4288
,1524211682688,2702,,NO,,0,,,0,0,,,0,0,0,0,1,,1524211682688,,,,,13801,4,0,0,0,,0,3,1501,,,4289
,1524211875131,2702,,NO,,0,,,0,0,,,0,0,0,0,1,,1524211875147,,,,,13801,4,0,0,0,,0,3,1501,,,4290
,1524211915069,11,,NO,,0,,,0,0,,,0,0,0,0,1,,1524211915085,,,,TECH_REPLY,13805,3,0,0,0,,0,3,3308,,,4160
,1524213944936,901,,NO,,0,,,0,0,,,0,0,0,0,1,,1524213944936,,,,,4804,4,0,0,0,,0,3,3903,,,4284
,1524214115221,2406,,NO,,0,,,0,0,,,0,0,0,0,1,,1524214115221,,,,,4804,3,0,0,0,,0,3,,,,4165
,1524215660652,901,,NO,,0,,,0,0,,,0,0,0,0,1,,1524215660652,,,,,4804,3,0,0,0,,0,3,3902,,,4275
,1524218181357,2702,,NO,,0,,,0,0,,,0,0,0,0,1,,1524218181357,,,,,13801,4,0,0,0,,0,3,1503,,,4291
,1524219669912,4501,,NO,,0,,,0,0,,,0,0,0,0,1,,1524219669912,,,,,14108,4,0,0,0,,0,3,,,,4250
,1524468069615,901,,NO,,0,,,0,0,,,0,0,0,0,1,,1524468069662,,,,,4804,3,0,0,0,,0,3,3902,,,4256
,1524480725562,11,,NO,,0,,,0,0,,,0,0,0,0,1,,1524480725578,,,,,4804,3,0,0,0,,0,3,3308,,,4294
,1524480882098,4,,NO,,0,,,0,0,,,0,0,0,0,1,,1524480882098,,,,,13805,3,0,0,0,,0,3,,,,4297
,1524497060718,2702,,NO,,0,,,0,0,,,0,0,0,0,1,,1524497060734,,,,,13801,4,0,0,0,,0,3,1501,,,4301
,1524497458463,3903,,NO,,0,,,0,0,,,0,0,0,0,1,,1524497458479,,,,,16503,2,0,0,0,,0,3,,,,2812
,1524561422384,3,,NO,,0,,,0,0,,,0,0,0,0,1,,1524561422384,,,,,13805,3,0,0,0,,0,3,,,,4304
,1524563071958,901,,NO,,0,,,0,0,,,0,0,0,0,0,,1524563071973,,,,,4804,4,0,0,0,,0,3,3902,,,4303
,1524568100385,10,,NO,,0,,,0,0,,,0,0,0,0,0,,1524568100385,,,,,4804,4,0,0,0,,0,3,,,,4299
,1524578226730,2,,NO,,0,,,0,0,,,0,0,0,0,1,,1524578226746,,,,,13805,3,0,0,0,,0,3,3302,,,4305
,1524579995791,5101,,NO,,0,,,0,0,,,0,0,0,0,1,,1524579995791,,,,,9003,4,0,0,0,,0,3,3608,,,4306
,1524649783980,2403,,NO,,0,,,0,0,,,0,0,0,0,1,,1524649783980,,,,,14108,4,0,0,0,,0,3,,,,4311
,1524651143531,2702,,NO,,0,,,0,0,,,0,0,0,0,1,,1524651143531,,,,,13801,4,0,0,0,,0,3,1501,,,4313
,1524658946045,2702,,NO,,0,,,0,0,,,0,0,0,0,1,,1524658946045,,,,,13801,3,0,0,0,,0,3,1501,,,4317
,1524659536467,2702,,NO,,0,,,0,0,,,0,0,0,0,1,,1524659536482,,,,,9003,4,0,0,0,,0,3,1501,,,4319
,1524665499073,2,,NO,,0,,,0,0,,,0,0,0,0,1,,1524665499136,,,,,13805,3,0,0,0,,0,3,3301,,,4271
,1524675962934,2404,,NO,,0,,,0,1,,,0,0,0,0,1,,1524675962934,,,,,6609,3,0,0,0,,0,3,,,,4320
,1524731903793,10,,NO,,0,,,0,0,,,0,0,0,0,1,,1524731903793,,,,,13805,4,0,0,0,,0,3,,,,4312
,1524732015125,3,,NO,,0,,,0,0,,,0,0,0,0,1,,1524732015125,,,,,4804,3,0,0,0,,0,3,8,,,4321
,1524732250350,1501,,NO,,0,,,1,0,,,0,0,0,0,1,,1524732250350,,,,,14108,4,0,0,0,,0,3,,,,4315
,1524732659297,901,,NO,,0,,,0,0,,,0,0,0,0,1,,1524732659297,,,,,4804,4,0,0,0,,0,3,3902,,,4323
,1524733229500,10,,NO,,0,,,0,0,,,0,0,0,0,1,,1524733229500,,,,,11401,3,0,0,0,,0,3,,,,4325
,1524739140229,2406,,NO,,0,,,0,0,,,0,0,0,0,0,,1524739140229,,,,,4804,3,0,0,0,,0,3,,,,4324
,1524741404724,2403,,NO,,0,,,1,0,,,0,0,0,0,1,,1524741404740,,,,,14108,3,0,0,0,,0,3,,,,4314
,1524754439483,2404,,NO,,0,,,0,0,,,0,0,0,0,1,,1524754439499,,"",4320,,6609,4,0,0,0,,0,3,,,,4316
,1524813937674,10,,NO,,0,,,0,0,,,0,0,0,0,1,,1524813937690,,,,,13805,2,0,0,0,,0,3,16,,,4243
,1524814152882,2403,,NO,,0,,,0,0,,,0,0,0,0,1,,1524814152898,,,,,13805,4,0,0,0,,0,3,,,,4242
,1524815364087,2,,NO,,0,,,0,0,,,0,0,0,0,1,,1524815364087,,,,,6609,3,0,0,0,,0,3,3302,,,4328
,1524815624078,10,,NO,,0,,,0,0,,,0,0,0,0,1,,1524815624078,,,,,6609,3,0,0,0,,1,3,15,,,4327
,1524817602175,3903,,NO,,0,,,0,0,,,0,0,0,0,1,,1524817602316,,,,REQ_REPLY,16503,,0,0,0,,0,3,2701,1,,4287
,1524819696558,3902,,NO,,0,,,0,0,,,0,0,0,0,1,,1524819696558,,,,,10506,,0,0,0,,0,3,,,,4308
,1524821255411,10,,NO,,0,,,0,0,,,0,0,0,0,1,,1524821255426,,,,,11401,3,0,0,0,,0,3,,,,4331
,1524821544449,2702,,NO,,0,,,0,0,,,0,0,0,0,1,,1524821544449,,,,,13801,3,0,0,0,,0,3,1501,,,4334
,1524822520193,2702,,NO,,0,,,0,0,,,0,0,0,0,1,,1524822520209,,,,,9003,2,0,0,0,,0,3,1503,,,4335
,1524822722964,2702,,NO,,0,,,0,0,,,0,0,0,0,1,,1524822722979,,,,,9003,2,0,0,0,,0,3,1503,,,4187
,1524822732480,2702,,NO,,0,,,0,0,,,0,0,0,0,1,,1524822732480,,,,,9003,3,0,0,0,,0,3,1503,,,4336
,1524822805029,3901,,NO,,0,,,0,0,,,0,0,0,0,1,,1524822805029,,,,,10506,,0,0,0,,0,3,,,,4121
,1524825936656,2403,,NO,,0,,,0,0,,,0,0,0,0,1,,1524825936656,,,,,4804,4,0,0,0,,0,3,,,,4333
,1525076517958,4501,,NO,,0,,,0,0,,,0,0,0,0,1,,1525076518005,,,,,15301,4,0,0,0,,0,3,,,,4337
,1525085187244,2702,,NO,,0,,,0,0,,,0,0,0,0,1,,1525085187244,,,,,13801,3,0,0,0,,0,3,3310,,,4180
,1525085344920,2702,,NO,,0,,,0,0,,,0,0,0,0,1,,1525085344920,,,,,13801,4,0,0,0,,0,3,1501,,,4342
,1525086189536,901,,NO,,0,,,0,0,,,0,0,0,0,1,,1525086189551,,,,,13805,4,0,0,0,,0,3,,,,4339
,1525087927112,2406,,NO,,0,,,0,0,,,0,0,0,0,1,,1525087927112,,,,,6609,4,0,0,0,,0,3,,,,4340
,1525089111393,5402,,NO,,0,,,0,0,,,0,0,0,0,1,,1525089111393,,,,,13805,3,0,0,0,,0,3,4201,,,4213
,1525100298412,10,,NO,,0,,,0,0,,,0,0,0,0,1,,1525100298412,,,,,6609,3,0,0,0,,0,3,15,,,4332
,1525249137547,2406,,NO,,0,,,0,0,,,0,0,0,0,1,,1525249137547,,,,,11401,3,0,0,0,,0,3,,,,4347
,1525345299951,2403,,NO,,0,,,0,0,,,0,0,0,0,1,,1525345299967,,,,,15301,3,0,0,0,,0,3,,,,4341
,1525346587031,2,,NO,,0,,,0,0,,,0,0,0,0,1,,1525346587047,,,,,13805,3,0,0,0,,0,3,,,,4338
,1525353418770,5402,,NO,,0,,,0,0,,,0,0,0,0,1,,1525353418770,,,,,13805,3,0,0,0,,0,3,4202,,,4300
,1525420624213,2702,,NO,,0,,,0,0,,,0,0,0,0,1,,1525420624213,,,,,13801,3,0,0,0,,0,3,1501,,,4350
,1525429288736,2403,,NO,,0,,,0,0,,,0,0,0,0,1,,1525429288751,,,,,13805,4,0,0,0,,0,3,,,,4351
,1525431671406,2701,,NO,,0,,,0,0,,,0,0,0,0,1,,1525431671875,,,,,4804,4,0,0,0,,0,3,,,,4266
,1525434939475,2,,NO,,0,,,0,0,,,0,0,0,0,1,,1525434939475,,,,,13805,3,0,0,0,,0,3,,,,4353
,1525683426864,2403,,NO,,0,,,0,0,,,0,0,0,0,1,,1525683426864,,,,,13805,4,0,0,0,,0,3,,,,4344
,1525684699927,901,,NO,,0,,,0,0,,,0,0,0,0,1,,1525684699927,,,,,4804,4,0,0,0,,0,3,3902,,,4355
,1525686736315,2406,,NO,,0,,,0,0,,,0,0,0,0,1,,1525686736315,,,,,11401,4,0,0,0,,0,3,,,,4283
,1525699055806,11,,NO,,0,,,0,0,,,0,0,0,0,1,,1525699055806,,,,,13805,3,0,0,0,,0,3,903,,,4354
,1525708064679,2406,,NO,,0,,,1,0,,,0,0,0,0,0,,1525708064773,,,,,4804,2,0,0,0,,0,3,,,,4282
,1525761329574,901,,NO,,0,,,0,0,,,0,0,0,0,1,,1525761329590,,,,TECH_REPLY,13805,3,0,0,0,,0,3,3902,,,4292
,1525765613309,2702,,NO,,0,,,0,0,,,0,0,0,0,1,,1525765613309,,,,,9003,2,0,0,0,,0,3,3310,,,4184
,1525765862643,2702,,NO,,0,,,0,0,,,0,0,0,0,1,,1525765862659,,,,,9003,2,0,0,0,,0,3,1501,,,4286
,1525765891769,2702,,NO,,0,,,0,0,,,0,0,0,0,1,,1525765891785,,,,,9003,4,0,0,0,,0,3,1501,,,4318
,1525768401944,4501,,NO,,0,,,0,0,,,0,0,0,0,1,,1525768401944,,,,,15301,4,0,0,0,,0,3,,,,4361
